,ID,type,name,Vermin,stars,votes,safety
914,107848081,Boulder,Horizontal Shuffle,V1,3.0,1,
918,107855057,Boulder,Puppy Scales,V0,3.0,1,
920,107868871,Boulder,Clown Foot,V2,3.0,1,
921,107886589,Boulder,Switch Back,V0,3.0,1,
922,107902201,Boulder,Spinal Stem,V0-1,3.0,1,
923,107904726,Boulder,Jingo Jango,V0,3.0,1,
924,107902206,Boulder,Skull Fracture,V0,3.0,1,
925,107848040,Boulder,Reach Around,V1,3.0,1,
926,107891835,Boulder,Down South,V0,3.0,1,
940,107919526,Boulder,Space Rip,V0,2.5,4,
943,107453206,Boulder,Connect-The-Dots,V1,2.5,2,
944,107847064,Boulder,Bear Face Left Cheek,V0,2.5,2,
950,107868891,Boulder,Loose Mime,V0,2.0,2,
951,107912499,Boulder,Easy E,V1,2.0,2,
955,107875785,Boulder,Shooting Star,V1,2.0,1,
956,107848115,Boulder,The Clap,V0,2.0,1,X
957,107913807,Boulder,Living on the Edge,V1-2,2.0,1,
958,107848059,Boulder,Horizontal Hustle Traverse,V0,2.0,1,
959,107848098,Boulder,Fist-o-Crack,V0,2.0,1,
961,107891782,Boulder,Rim Job,V1,2.0,1,
962,107902173,Boulder,Split In Two,V2,2.0,1,
963,107902212,Boulder,Loose Noose,V0,2.0,1,
964,107901851,Boulder,Hang Mans Whiskey,V0,2.0,1,
965,107901834,Boulder,Hang Mans Cellar,V0,2.0,1,
966,107886563,Boulder,Double Tap,V0,2.0,1,
968,107843770,Boulder,Bear Face Right Cheek,V1-,2.0,1,
969,107848136,Boulder,The Ball,V1,2.0,1,
970,107886600,Boulder,Crimp and Go,V0,2.0,1,
971,107868866,Boulder,Trapeze Act,V0,2.0,1,
972,107904687,Boulder,Crimpaholic,V1,2.0,1,
974,107265474,Boulder,Mini-K,V0,2.0,1,
1133,105916552,Boulder,Slash X,V5-6,4.6,10,
1134,107885365,Boulder,Atonement,V6-7,5.0,1,
1138,107885374,Boulder,Absolution,V5,5.0,1,
1149,107884082,Boulder,Pimp Slap,V3+,4.7,3,
1162,120193638,Boulder,Right Nut,V4,4.5,2,
1163,107884121,Boulder,Wrangled,V3+,4.5,2,
1210,107884075,Boulder,Pimp Daddy,V5,4.0,2,
1211,107885207,Boulder,Catharsis,V6-7,4.0,2,
